Artist,Venue,City,Country,Tour / Festival,Guests,Setlist?,Date,URL
Portugal. The Man,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/04,http://www.setlist.fm/setlist/portugal-the-man/2012/parc-jean-drapeau-montreal-qc-canada-53dc1bc5.html
Preservation Hall Jazz Band,The SSE Arena,London,UK,Everything Now (Arcade Fire),,No,2018/04/12,
Public Enemy,The SSE Arena,London,UK,Gods of Rap,,Yes,2019/05/10,https://www.setlist.fm/setlist/public-enemy/2019/the-sse-arena-wembley-london-england-1390e589.html
Queens of the Stone Age,The SSE Arena,London,UK,…Like Clockwork,,Yes,2013/11/22,http://www.setlist.fm/setlist/queens-of-the-stone-age/2013/wembley-arena-london-england-33c4d46d.html
R. A. the Rugged Man,Jazz Café,London,UK,,"A.F.R.O., Mr. Green",Yes,2015/12/05,http://www.setlist.fm/setlist/ra-the-rugged-man/2015/jazz-cafe-london-england-43f2eb0f.html
Raekwon,London Music Hall,London,Canada,,,No,2012/01/22,
Rakim,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
Ratatat,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/30,http://www.setlist.fm/setlist/ratatat/2011/parc-jean-drapeau-montreal-qc-canada-63d0a2b3.html
Red Hot Chili Peppers,Bell Centre,Montreal,Canada,Stadium Arcadium,,Yes,2006/09/28,http://www.setlist.fm/setlist/red-hot-chili-peppers/2006/centre-bell-montreal-qc-canada-43d6a3a7.html
Reflection Eternal,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,,No,2009/08/01,
Rizzle Kicks,Queen Elizabeth Olympic Park,London,UK,Wireless Festival 2013,,No,2013/07/14,
Rudimental,Victoria Park,London,UK,Lovebox Festival 2015,,No,2015/07/17,
RZA,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,"Boy Jones, Streetlife",No,2009/08/01,
Sam Roberts,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/30,http://www.setlist.fm/setlist/sam-roberts-band/2011/parc-jean-drapeau-montreal-qc-canada-13d09d31.html
Sam Roberts,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,No,2007/07/15,
Sam Roberts,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,No,2008/07/26,
Santana,Hyde Park,London,UK,British Summer Time 2018,,Yes,2018/07/08,https://www.setlist.fm/setlist/santana/2018/hyde-park-london-england-13ea5539.html
Santigold,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/04,http://www.setlist.fm/setlist/santigold/2012/parc-jean-drapeau-montreal-qc-canada-bdcd54a.html
SBTRKT,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,No,2012/08/05,
Seal,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2012,,Yes,2012/07/08,http://www.setlist.fm/setlist/seal/2012/le-breton-festival-park-ottawa-on-canada-3df4d8f.html
Shad,London Music Hall,London,Canada,,,No,2011/04/07,
Shad,Major's Hill Park,Ottawa,Canada,Canada Day 2015,,Yes,2015/07/01,http://www.setlist.fm/setlist/shad/2015/majors-hill-park-ottawa-on-canada-1bf6adf0.html
Sheek Louch,London Music Hall,London,Canada,,,No,2011/12/21,
Shigeto,Oval Space,London,UK,,,No,2016/02/11,
