Artist,Venue,City,Country,Tour / Festival,Guests,Setlist?,Date,URL
Classified,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/03,http://www.setlist.fm/setlist/classified/2012/parc-jean-drapeau-montreal-qc-canada-bdc15e6.html
Coldplay,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,Yes,2008/07/27,http://www.setlist.fm/setlist/coldplay/2008/pemberton-festival-pemberton-bc-canada-73d6cab1.html
Colorama,The Three Kings,London,UK,Good Music,,Yes,2014/03/21,http://www.setlist.fm/setlist/colorama/2014/the-three-kings-islington-england-73f3fe25.html
Common,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,,No,2009/08/01,
Common,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,No,2012/08/05,
Constantines,Scotiabank Place,Ottawa,Canada,World Container (The Tragically Hip), ,No,2007/02/02,
Corinne Bailey Rae,Hyde Park,London,UK,British Summer Time 2016,,No,2016/07/10,
CunninLynguists,The Garage,London,UK,,Schiesty Khrist,Yes,2015/07/27,http://www.setlist.fm/setlist/cunninlynguists/2015/the-garage-london-england-3f5e1a3.html
Cypress Hill,Victoria Park,London,UK,Lovebox Festival 2015,,Yes,2015/07/17,http://www.setlist.fm/setlist/cypress-hill/2015/victoria-park-london-england-4bf637ce.html
Cypress Hill,Gunnerbury Park,London,UK,Lovebox Festival 2019,,Yes,2019/07/12,https://www.setlist.fm/setlist/cypress-hill/2019/gunnersbury-park-london-england-5b9e8b00.html
Cypress Hill,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/31,http://www.setlist.fm/setlist/cypress-hill/2011/parc-jean-drapeau-montreal-qc-canada-13d09941.html
De La Soul,O2 Shepherd's Bush Empire,London,UK,,,No,2014/05/01,
De La Soul,L'Olympia,Montreal,Canada,,,No,2009/08/22,
De La Soul,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
De La Soul,The SSE Arena,London,UK,Gods of Rap,,Yes,2019/05/10,https://www.setlist.fm/setlist/de-la-soul/2019/the-sse-arena-wembley-london-england-1b90e588.html
dead prez,XOYO,London,UK,,,Yes,2016/03/10,http://www.setlist.fm/setlist/dead-prez/2016/xoyo-london-england-13f0cd19.html
Death Cab For Cutie,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,Yes,2008/07/27,http://www.setlist.fm/setlist/death-cab-for-cutie/2008/pemberton-festival-pemberton-bc-canada-2bda3cc2.html
Death From Above 1979,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/30,http://www.setlist.fm/setlist/death-from-above-1979/2011/parc-jean-drapeau-montreal-qc-canada-23d09c07.html
Del tha Funkee Homosapien,Babylon,Ottawa,Canada,,,No,2007/07/25,
Delhi 2 Dublin,Britannia Park,Ottawa,Canada,Ottawa Folkfest 2011,,No,2010/08/15,
Deltron 3030,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2012,,Yes,2012/07/10,http://www.setlist.fm/setlist/deltron-3030/2012/le-breton-festival-park-ottawa-on-canada-7bdf4684.html
Diplo,Heaven Nightclub,Ottawa,Canada,,,No,,
Dizzee Rascal,Emirates Stadium,London,UK,The 2nd Law (Muse),,Yes,2013/05/25,http://www.setlist.fm/setlist/dizzee-rascal/2013/emirates-stadium-london-england-3d9ad53.html
DJ Premier,The SSE Arena,London,UK,Gods of Rap,,No,2019/05/10,
DMC World Championships 2013,Indig02,London,UK,DMC World Championships 2013,,No,2013/10/05,
Elton John & His Band,Twickenham Stoop,London,UK,Wonderful Crazy Night,,Yes,2017/06/03,http://www.setlist.fm/setlist/elton-john/2017/twickenham-stoop-twickenham-england-43e70f7b.html
Elvis Costello & the Imposters,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/30,http://www.setlist.fm/setlist/elvis-costello-and-the-imposters/2011/parc-jean-drapeau-montreal-qc-canada-33d09c05.html
Eminem,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,"Royca Da 5'9""",Yes,2011/07/29,http://www.setlist.fm/setlist/eminem/2011/parc-jean-drapeau-montreal-qc-canada-3d0a1ab.html
Eric Clapton,Hyde Park,London,UK,British Summer Time 2018,"Carlos Santana, Paul Carrack",Yes,2018/07/08,https://www.setlist.fm/setlist/eric-clapton/2018/hyde-park-london-england-bea553a.html
First Rate People,Call the Office,London,Canada,,,No,2011/03/29,
FKJ,Gunnerbury Park,London,UK,Lovebox Festival 2019,,No,2019/07/12,
Fleetwood Mac,Air Canada Centre,Toronto,Canada,,,Yes,2009/03/26,http://www.setlist.fm/setlist/fleetwood-mac/2009/air-canada-centre-toronto-on-canada-5bd3cb7c.html
Flight Facilities,Victoria Park,London,UK,Lovebox Festival 2015,,No,2015/07/18,
Flume,Victoria Park,London,UK,Lovebox Festival 2015,,No,2015/07/18,
Foo Fighters,London Stadium,London,UK,Concrete and Gold,Alison Mosshart,Yes,2018/06/23,https://www.setlist.fm/setlist/foo-fighters/2018/london-stadium-london-england-63eac6ef.html
Franz Ferdinand,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/03,http://www.setlist.fm/setlist/franz-ferdinand/2012/parc-jean-drapeau-montreal-qc-canada-3dce143.html
Freddie Gibbs,XOYO,London,UK,,,No,2014/08/31,
Future Islands,Hyde Park,London,UK,British Summer Time 2014,,Yes,2014/07/03,http://www.setlist.fm/setlist/future-islands/2014/hyde-park-london-england-23c1fc0b.html
Gary Clark Jr.,Hyde Park,London,UK,British Summer Time 2018,,Yes,2018/07/08,https://www.setlist.fm/setlist/gary-clark-jr/2018/hyde-park-london-england-3ea553f.html
Ghostface Killah,London Music Hall,London,Canada,,,No,2011/12/21,
Guy Gerber,Gunnerbury Park,London,UK,Lovebox Festival 2019,,No,2019/07/12,
GZA,Phoenix Concert Theatre,Toronto,Canada,,,No,2010/01/25,
Hollerado,The Hifi Club,Calgary,Canada,Sled Island Festival 2009,,No,2009/06/28,
Hollerado,Call the Office,London,Canada,Record in a Bag,,No,2008/09/25,
Hollerado,Call the Office,London,Canada,Record in a Bag,,No,2011/10/06,
Hollerado,Call the Office,London,Canada,Record in a Bag,,No,2012/02/15,
Hollerado,London Music Hall,London,Canada,Record in a Bag,,No,2011/04/02,
Hollerado,Hoxton Square,London,UK,White Paint,,No,2014/09/16,
Hollerado,St. Leonard Elementary School,Manotick,Canada,Manotick Arena Benefit Concert,,Yes,2015/12/20,http://www.setlist.fm/setlist/hollerado/2015/st-leonard-elementary-school-manotick-on-canada-23f21ce7.html
Hollerado,La Piazza Courtyard & Lounge,Manotick,Canada,Dickinson Days 2010,,No,2010/06/04,
Hollerado,La Salla Rossa,Montreal,Canada,M Pour Montreal 2011,,No,2011/11/18,
Hollerado,Live City Music Hall,Ottawa,Canada,Canada Day 2010,,No,2010/07/01,
Hollerado,Mooney's Bay Park,Ottawa,Canada,Ottawa Dragonboat Festival 2015,,Yes,2015/06/28,http://www.setlist.fm/setlist/hollerado/2015/mooneys-bay-park-ottawa-on-canada-3c9513f.html
Hollerado,Badaboum,Paris,France,White Paint,,No,2013/12/06,
Hollerado,Danforth Music Hall,Toronto,Canada,Retaliation Vacation / Final Tour,,Yes,2019/12/13,https://www.setlist.fm/setlist/hollerado/2019/danforth-music-hall-toronto-on-canada-6b9bbe5e.html
Hot Chip,Victoria Park,London,UK,Lovebox Festival 2015,,No,2015/07/18,
Ice Cube,Civic Center,Ottawa,Canada,,,No,2007/01/26,
Igloofest 2011,Quais Jacques-Cartier,Montreal,Canada,Igloofest 2011,,No,,
Ill Bill & DJ Muggs,Governor's Island,New York City,USA,Rock the Bells 2010,,No,2010/08/28,
Jake Bugg,Hyde Park,London,UK,British Summer Time 2014,,Yes,2014/07/03,http://www.setlist.fm/setlist/jake-bugg/2014/hyde-park-london-england-53c18735.html
Jay Electronica,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
Jay-Z,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,No,2008/07/27,
Jay-Z & Justin Timberlake,Queen Elizabeth Olympic Park,London,UK,Wireless Festival 2013,Rihanna,Yes,2013/07/14,http://www.setlist.fm/setlist/justin-timberlake-featuring-jay-z/2013/queen-elizabeth-olympic-park-london-england-bc6bd6e.html
Jedi Mind Tricks,Governor's Island,New York City,USA,Rock the Bells 2010,,No,2010/08/28,
Jim Cuddy,Britannia Park,Ottawa,Canada,Ottawa Folkfest 2011,,No,2010/08/15,
